snmp_mib;snmp_label;snmp_index;snmp_oid;snmp_datatype;keypart;name;units;units_factor;description
UBNT-UniFi-MIB;unifiApSystemIp;0;1.3.6.1.4.1.41112.1.6.3.1.0;IpAddress;sys.ip;System IP;;;System IP address
UBNT-UniFi-MIB;unifiApSystemModel;0;1.3.6.1.4.1.41112.1.6.3.3.0;DisplayString;sys.model;Model;;;System Model
UBNT-UniFi-MIB;unifiApSystemUptime;0;1.3.6.1.4.1.41112.1.6.3.5.0;Counter32;sys.uptime;Uptime;s;;System Uptime
UBNT-UniFi-MIB;unifiIfRxBytes;1;1.3.6.1.4.1.41112.1.6.2.1.1.6.1;Counter32;eth1.rx.bytes;eth1 RX bytes;B;;Eth1 RX Bytes
FROGFOOT-RESOURCES-MIB;loadValue;1;1.3.6.1.4.1.10002.1.1.1.4.2.1.3.1;Gauge32;cpu.load.1;Load1;;;The 1,5 and 10 minute load averages. These values are stored as a percentage of processor load.
FROGFOOT-RESOURCES-MIB;loadValue;2;1.3.6.1.4.1.10002.1.1.1.4.2.1.3.2;Gauge32;cpu.load.5;Load 5;;;The 1,5 and 10 minute load averages. These values are stored as a percentage of processor load.
FROGFOOT-RESOURCES-MIB;loadValue;3;1.3.6.1.4.1.10002.1.1.1.4.2.1.3.3;Gauge32;cpu.load.15;Load 15;;;The 1,5 and 10 minute load averages. These values are stored as a percentage of processor load.
UBNT-UniFi-MIB;unifiIfRxError;1;1.3.6.1.4.1.41112.1.6.2.1.1.8.1;Counter32;eth1.rx.error;eth1 RX error;count;;eth1 RX error count
UBNT-UniFi-MIB;unifiIfTxBytes;1;1.3.6.1.4.1.41112.1.6.2.1.1.12.1;Counter32;eth1.tx.bytes;eth1 TX bytes;B;;eth1 TX byte
UBNT-UniFi-MIB;unifiIfTxError;1;1.3.6.1.4.1.41112.1.6.2.1.1.14.1;Counter32;eth1.tx.error;eth1 TX error;count;;eth1 TX error count
UBNT-UniFi-MIB;unifiRadioCuTotal;1;1.3.6.1.4.1.41112.1.6.1.1.1.6.1;Integer32;radio0.cutotal;2G Channel utilization;/;1/100;2G Channel utilization.
UBNT-UniFi-MIB;unifiRadioCuTotal;2;1.3.6.1.4.1.41112.1.6.1.1.1.6.2;Integer32;radio1.cutotal;5G channel utilization;/;1/100;5G channel utilization.
