snmp_mib;snmp_label;snmp_index;snmp_oid;snmp_datatype;keypart;name;units;units_factor;description
FASTPATH-SWITCHING-MIB;agentInventoryMachineType;0;1.3.6.1.4.1.4413.1.1.1.1.1.2.0;DisplayString;model;Model;;;Type of the Machine used in the Switch
FASTPATH-SWITCHING-MIB;agentStpMstTopologyChangeCount;0;1.3.6.1.4.1.4413.1.1.1.2.15.10.1.8.0;Counter32;stp.change.count;STP Change count;count;;The MSTP count of topology changes in a specific instance.
FASTPATH-SWITCHING-MIB;agentActiveImageVersion;0;1.3.6.1.4.1.4413.1.1.1.2.9.3.5.0;DisplayString;sys.cur.version;Active version;;;The software version of the active image.
FASTPATH-SWITCHING-MIB;agentBackupImageVersion;0;1.3.6.1.4.1.4413.1.1.1.2.9.3.6.0;DisplayString;sys.bak.version;Backup Version;;;The software version of the backup image if present.
FASTPATH-SWITCHING-MIB;agentNetworkIPAddress;0;1.3.6.1.4.1.4413.1.1.1.2.3.1.0;IpAddress;sys.ip;System IP;;;The switch's network ip address
IF-MIB;ifInOctets;1;1.3.6.1.2.1.2.2.1.10.1;Counter32;port1.in;Port 1 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;2;1.3.6.1.2.1.2.2.1.10.2;Counter32;port2.in;Port 2 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;3;1.3.6.1.2.1.2.2.1.10.3;Counter32;port3.in;Port 3 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;4;1.3.6.1.2.1.2.2.1.10.4;Counter32;port4.in;Port 4 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;5;1.3.6.1.2.1.2.2.1.10.5;Counter32;port5.in;Port 5 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;6;1.3.6.1.2.1.2.2.1.10.6;Counter32;port6.in;Port 6 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;7;1.3.6.1.2.1.2.2.1.10.7;Counter32;port7.in;Port 7 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInOctets;8;1.3.6.1.2.1.2.2.1.10.8;Counter32;port8.in;Port 8 in octets;B;;The total number of octets received on the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;1;1.3.6.1.2.1.2.2.1.16.1;Counter32;Port1.out;Port 1 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;2;1.3.6.1.2.1.2.2.1.16.2;Counter32;port2.out;Port 2 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;3;1.3.6.1.2.1.2.2.1.16.3;Counter32;port3.out;Port 3 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;4;1.3.6.1.2.1.2.2.1.16.4;Counter32;port4.out;Port 4 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;5;1.3.6.1.2.1.2.2.1.16.5;Counter32;port5.out;Port 5 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;6;1.3.6.1.2.1.2.2.1.16.6;Counter32;port6.out;Port 6 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
