sentence,Predicted,Expected,Result
jonjcp is not blank,Value not_equals to null,VALUE not_equals to null,Fail
jonjcp is not blank,Value not_equals to null,VALUE not_equals to null,Fail
"qdsnjl IS LONGER THAN one thousand, two hundred and thirty-seven AND ALSO qdsnjl IS SMALL THAN forty-three thousand, one hundred and twenty-seven","Value is_within(one thousand, two hundred and thirty-seven)","Value is_within(1237,43127)",Fail
Lets say lcnjhc have null values,Value equals to null,VALUE equals to null,Fail
"uflxlt IS LONGER THAN three thousand, five hundred and eighty-six AND ALSO uflxlt IS SMALL THAN forty-six thousand, four hundred and twenty-seven","Value is_within(three thousand, five hundred and eighty-six)","Value is_within(3586,46427)",Fail
"gbwcey must be greater than 4761 ,but less than 47197","Value is_within(4761,47197)","Value is_within(4761,47197)",Pass
aptlse must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
xvakjn is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
grrbpo is empty,Value equals to null,VALUE equals to null,Fail
fqanqw is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
"gtpnsz must be greater than 1764,but less than  23255","Value is_within(1764,23255)","Value is_within(1764,23255)",Pass
lwckbe would not be null,Value equals to null,VALUE not_equals to null,Fail
tcysih is a null,Value equals to null,VALUE equals to null,Fail
isweno cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
dgghgw can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
xklmqm could be null,Value equals to null,VALUE equals to null,Fail
aihteq can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
glbibd could be blank,Value equals to null,VALUE equals to null,Fail
ppjyyn is more than 1728 and also ppjyyn should not exceed 60690,"Value is_within(1728,60690)","Value is_within(1728,60690)",Pass
rxnxyd might be in between 9752 to 98802,Value is_within(9752 to 98802),"Value is_within(9752,98802)",Fail
uazbji can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
pfcxzo should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
kpqzaf must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
cvrpww represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
hdkwux mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
qdoitk represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ucjgim depth must not be null,Value equals to null,VALUE not_equals to null,Fail
qohzma can be in range 1120 to 94111,"Value is_within(1120,94111)","Value is_within(1120,94111)",Pass
"kwrtws must be greater than 3143,but less than  47973","Value is_within(3343,497973)","Value is_within(3143,47973)",Fail
qjtclh can be equal to empty,Value equals to null,VALUE equals to null,Fail
wgqpuz is blank,Value equals to null,VALUE equals to null,Fail
wssdgw would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"kqsgvi should not be greater than 49645 ,but less than 6644","Value is_within(6644,49645)","Value is_within(6644,49645)",Pass
fcfzju must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
uumbro should not be null,Value equals to null,VALUE not_equals to null,Fail
jdsqmx is more than 5715 and also jdsqmx should not exceed 44404,"Value is_within(5715,44404)","Value is_within(5715,44404)",Pass
rcdpig can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
simnvt number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
atmlwb is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
tuorph must be blank,Value equals to null,VALUE equals to null,Fail
kktlmy must have a null loan number,Value equals to null,VALUE equals to null,Fail
vvtcts is not a null,Value not_equals to null,VALUE not_equals to null,Fail
cllpbc is more than 6552 and also cllpbc should not exceed 32240,"Value is_within(6552,32240)","Value is_within(6552,32240)",Pass
ldqzcq has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
cwsymi is not null.,Value not_equals to null,VALUE not_equals to null,Fail
jgwkbv can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
hxavim must be empty,Value equals to null,VALUE equals to null,Fail
Lets say tcysih have null values,Value equals to null,VALUE equals to null,Fail
gwsgxi can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
foyeug can be equal to blank,Value equals to null,VALUE equals to null,Fail
gegtft depth must not be null,Value equals to null,VALUE not_equals to null,Fail
wdkrrt cannot be empty.,Value not_equals to null,VALUE not_equals to null,Fail
mzamet could be empty,Value equals to null,VALUE equals to null,Fail
xoairo may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
ugyick could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
gzuuhy can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uazbji is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tugghd would be null,Value equals to null,VALUE equals to null,Fail
efagni must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
macbkc represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
jonjcp can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
"ivokor could be greater than 8986 ,but less than 23173","Value is_within(8986,23173)","Value is_within(8986,23173)",Pass
ntkxhe shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
xrfotv field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
hlundq should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ntvtxo cannot have any characters.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
ssbcaq should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
qbbcsq can be equal to empty,Value equals to null,VALUE equals to null,Fail
ttnbup equals a number under 4131 and over 14299,"Value is_within(4131,14299)","Value is_within(4131,14299)",Pass
xscpjc can be left empty,Value equals to null,VALUE equals to null,Fail
dbhcud cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
"vbmnjf is more than 6490 ,but less than 66159","Value is_within(6490,66159)","Value is_within(6490,66159)",Pass
vvtcts is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
bfqtzd can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
"ueajfp represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
rjzvrj would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
trbnpf is required to be empty,Value equals to null,VALUE equals to null,Fail
lzjsmp can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
"grnoag is greater than 6907,but less than 78151","Value is_within(6907,78151)","Value is_within(6907,78151)",Pass
ijafwf is expected to be null,Value equals to null,VALUE equals to null,Fail
jxpwjz is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
hxavim is always NULL,Value equals to null,VALUE equals to null,Fail
mlarpy is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
ecuibc is required to be empty,Value equals to null,VALUE equals to null,Fail
aypgxf should not have a lithology description.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
remxly is not null.,Value not_equals to null,VALUE not_equals to null,Fail
pbdden must not be populated,Value not_equals to null,VALUE equals to null,Fail
krlygu is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
qcnzpt would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
qlylbu must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
hmysnf can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
tcerft can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
jigbko shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
ngaqiy is with in 6515 to 70118,Value is_within(6515 to 70118),"Value is_within(6515,70118)",Fail
"gtznut exceeds 7176,but does not exceeds 15369","Value is_within(7176,15369)","Value is_within(7176,15369)",Pass
nqvdxd is a null,Value equals to null,VALUE equals to null,Fail
qqharf could be blank,Value equals to null,VALUE equals to null,Fail
Lets say ixvmwy have null values,Value equals to null,VALUE equals to null,Fail
tgbuvo could be empty,Value equals to null,VALUE equals to null,Fail
zeqrvl would be null,Value equals to null,VALUE equals to null,Fail
ecuibc could be null,Value equals to null,VALUE equals to null,Fail
iyloci could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
wicrph canbe empty,Value equals to null,VALUE equals to null,Fail
swzeot would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
nqvdxd depth must be null,Value equals to null,VALUE equals to null,Fail
